53	甲斐性のある団長	花騎士10人以上の好感度・咲を100％にする	花騎士10人以上の好感度・咲を100％にした証。	5	2	61	
54	艶福家	花騎士400人以上の好感度を100％にする	花騎士400人以上の好感度を100％にした証。	6	2	62	
55	好色家	花騎士200人以上の好感度・咲を100％にする	花騎士200人以上の好感度・咲を100％にした証。	6	2	63	
56	"クジラ艇 艇長"	"クジラ艇 第1章 任務26-5をクリア"	"クジラ艇 第1章 任務26-5をクリア"	3	1	64	
57	"水族艦 艦長"	"クジラ艇 第2章(プロローグ) 任務4-2をクリア"	"クジラ艇 第2章(プロローグ) 任務4-2をクリア"	4	1	65	
58	"水族艦隊 提督"	"クジラ艇 第2章(本編) 任務7-2をクリア"	"クジラ艇 第2章(本編) 任務7-2をクリア"	5	1	66	
59	監獄島の挑戦者	極限任務ストーリーズ「監獄島を攻略せよ」をコンプリート	極限任務ストーリーズ「監獄島を攻略せよ」をコンプリートした証	4	1	41	
60	無限害虫を迎撃せし者	極限任務ストーリーズ「無限害虫迎撃戦」をコンプリート	極限任務ストーリーズ「無限害虫迎撃戦」をコンプリートした証	4	1	42	
61	赤の選ばれし者	「月曜極限任務　選ばれし者の試練」をコンプリート	「月曜極限任務　選ばれし者の試練」をコンプリートした証	5	1	43	
62	青の選ばれし者	「火曜極限任務　選ばれし者の試練」をコンプリート	「火曜極限任務　選ばれし者の試練」をコンプリートした証	5	1	44	
63	黄の選ばれし者	「木曜極限任務　選ばれし者の試練」をコンプリート	「木曜極限任務　選ばれし者の試練」をコンプリートした証	5	1	45	
64	紫の選ばれし者	「金曜極限任務　選ばれし者の試練」をコンプリート	「金曜極限任務　選ばれし者の試練」をコンプリートした証	5	1	46	
65	園芸団長	「庭園」にいずれかの鉢植えを5つ設置する	「庭園」にいずれかの鉢植えを5つ設置	3	2	67	
66	八十重の城を制する者	"カラクリ無限城 第80階層 難易度破級をクリア"	"カラクリ無限城 第80階層 難易度破級をクリア"	6	3	68	
67	欲望の赴くままに	"第10章 Re:エノテラとアグロステンマをクリア"	"第10章 Re:エノテラとアグロステンをクリアした証。"	4	1	14	
68	愛情深い団長	花騎士1人以上の好感度・誓を100％にする	花騎士1人以上の好感度・誓を100％にする	6	2	70	
69	大切なあなたに	花騎士1人以上に誓いの指輪を渡す	花騎士1人以上に誓いの指輪を渡す	6	2	71	
70	永遠をあなたと	花騎士1人以上に誓いの指輪(祝福)を渡す	花騎士1人以上に誓いの指輪(祝福)を渡す	6	2	72	
71	天雷と暁の王	"天雷と暁の王 最終決戦のいずれかの難易度をクリア"	"天雷と暁の王 最終決戦をクリア"	5	4	73	
72	百重の城を制する者	"カラクリ無限城 第100階層 難易度破級をクリア"	"カラクリ無限城 第100階層 難易度破級をクリア"	6	3	69	
73	不滅と黄昏の支配者	"不滅と黄昏の支配者 最終決戦のいずれかの難易度をクリア"	"不滅と黄昏の支配者 最終決戦をクリア"	5	5	74	
74	創世の花園に立つ者	"メインストーリー第3部6-6 の勲章三報酬獲得"	"メインストーリー第3部6-6 の勲章三報酬獲得"	6	727	75	
75	エルモズ山麓の平定者	ヌシ討伐　激闘　エルモズ山麓をクリア	ヌシ討伐　激闘　エルモズ山麓をクリアした証。	5	1	25	
76	炎熱と宵闇の化身	"炎熱と宵闇の化身 神蟲核のいずれかのステージをクリア"	"炎熱と宵闇の化身 神蟲核のいずれかのステージをクリア"	5	6	76	
77	凍てつく銀の暗殺者	VS封印の古代花騎士のVS暗殺者シターをクリア	VS封印の古代花騎士のVS暗殺者シターをクリア	6	7	77	
78	碧き楽園の狂信徒	VS封印の古代花騎士のVS楽園の創始者をクリア	VS封印の古代花騎士のVS楽園の創始者をクリア	6	8	78	
79	燦々たる虚像の英雄	VS封印の古代花騎士のVS英雄ジニアをクリア	VS封印の古代花騎士のVS英雄ジニアをクリア	6	9	79	
80	幽谷に彷徨う月の姫	VS封印の古代花騎士のVS月輪の来訪者をクリア	VS封印の古代花騎士のVS月輪の来訪者をクリア	6	10	80	
